Câu hỏi,Trả lời
Bạn dành bao nhiêu thời gian mỗi ngày cho các hoạt động trực tuyến?,Khoảng 6-8 giờ.
Bạn dành bao nhiêu giờ mỗi ngày cho TikTok?,Khoảng 1-2 giờ.
Lượng thời gian bạn sử dụng mạng xã hội mỗi ngày là bao nhiêu?,Trung bình 3-4 giờ.
Bạn dành bao nhiêu giờ mỗi ngày để không sử dụng mạng xã hội?,Khoảng 20 giờ (bao gồm thời gian ngủ).
Mạng xã hội chiếm bao nhiêu phần trăm thời gian hoạt động hàng ngày của bạn?,Khoảng 30-40%.
Bạn thường xuyên sử dụng những loại hình truyền thông trực tuyến nào?,"Mạng xã hội, YouTube, báo điện tử."
"Bạn sử dụng Facebook, Instagram, hay Twitter thường xuyên hơn?",Facebook và Instagram.
Bạn thường xuyên truy cập những trang mạng xã hội nào?,"Facebook, Instagram, TikTok."
Những nền tảng truyền thông xã hội nào bạn ít sử dụng nhất?,"Twitter, LinkedIn."
Nền tảng truyền thông xã hội nào ảnh hưởng lớn nhất đến cuộc sống hàng ngày của bạn?,TikTok và Instagram.
Bạn có thường xuyên kiểm tra thông báo từ các ứng dụng trực tuyến không?,"Có, mỗi giờ một lần."
Bạn có kiểm tra thông báo Facebook mỗi khi có thông báo mới không?,Thỉnh thoảng.
Tần suất bạn xem thông báo mạng xã hội là bao nhiêu?,Khoảng 10-20 lần mỗi ngày.
Bạn có cố tình bỏ qua thông báo trên mạng xã hội không?,Đôi khi có.
Việc kiểm tra thông báo mạng xã hội ảnh hưởng đến sự tập trung của bạn như thế nào?,Làm gián đoạn công việc và giảm năng suất.
Công nghệ có ảnh hưởng đến thói quen học tập của bạn không? Nếu có thì làm thế nào?,"Có, giúp tìm tài liệu nhanh hơn nhưng cũng gây xao nhãng."
Instagram có ảnh hưởng đến điểm số của bạn không?,"Không nhiều, chỉ khi sử dụng quá mức."
Mạng xã hội tác động đến việc học của bạn như thế nào?,"Vừa có lợi (hỗ trợ học tập), vừa có hại (mất tập trung)."
Phương tiện truyền thông xã hội có giúp bạn học tập hiệu quả hơn không?,"Có, nếu sử dụng đúng cách."
Bạn có sử dụng mạng xã hội như một công cụ hỗ trợ học tập không?,"Có, để tìm tài liệu và trao đổi với bạn bè."
Bạn có sử dụng công nghệ cho mục đích học tập không?,"Có, tôi sử dụng công nghệ để hỗ trợ việc học."
Bạn có sử dụng YouTube để xem các bài giảng không?,"Có, tôi thường xem bài giảng trên YouTube."
Bạn có dùng mạng xã hội để hỗ trợ việc học không?,"Có, tôi dùng mạng xã hội để trao đổi kiến thức."
Bạn có tránh sử dụng mạng xã hội khi học không?,"Đôi khi, nhưng không phải lúc nào cũng tránh được."
Mạng xã hội có thể được sử dụng như một công cụ học tập hiệu quả như thế nào?,"Giúp tiếp cận tài liệu, bài giảng và kết nối với chuyên gia."
Bạn đã bao giờ sử dụng Internet để tìm tài liệu học tập chưa?,"Có, tôi thường tìm tài liệu học tập trên Internet."
Bạn đã bao giờ tìm kiếm tài liệu trên các nhóm học tập Facebook chưa?,"Có, tôi từng tìm kiếm tài liệu trên các nhóm học tập Facebook."
Bạn có từng dùng mạng xã hội để tìm kiếm nguồn học liệu không?,"Có, tôi sử dụng mạng xã hội để tìm nguồn học liệu."
Bạn có thích tìm tài liệu học tập từ sách vở hơn là mạng xã hội không?,Tôi thích kết hợp cả sách vở và mạng xã hội để học.
Mạng xã hội giúp bạn tiếp cận tài liệu học tập như thế nào?,Giúp tìm kiếm và chia sẻ tài liệu nhanh chóng.
Bạn có nghĩ công nghệ làm bạn mất tập trung vào công việc không?,"Có, đôi khi công nghệ làm tôi mất tập trung."
Bạn có nghĩ TikTok làm bạn mất tập trung vào việc học không?,"Có, TikTok có thể gây xao nhãng nếu không kiểm soát."
Mạng xã hội có khiến bạn xao nhãng việc học không?,"Có, mạng xã hội đôi khi khiến tôi phân tâm khỏi việc học."
Mạng xã hội có giúp bạn tập trung hơn khi học không?,"Đôi khi, khi tôi sử dụng nó để tìm tài liệu học."
Bạn có thể sử dụng mạng xã hội để cải thiện sự tập trung khi học như thế nào?,Bằng cách sử dụng các nhóm học tập và tắt thông báo.
