Question,Answer 
How many hours per day do you spend on social media?,Around 3 hours.
Which social media platforms do you use most frequently?,Instagram and TikTok.
How often do you check social media notifications?,Every 30 minutes.
"Has social media affected your study habits? If yes, how?","Yes, it sometimes distracts me."
Do you use social media for academic purposes?,"Yes, for finding study materials."
Have you ever used social media to find study resources?,"Yes, many times."
Do you think social media distracts you from studying?,"Yes, especially when studying for exams."
How does social media impact your concentration?,It reduces my focus.
Do you feel pressure to maintain an online presence?,"Yes, I feel pressure to post regularly."
Has social media influenced your self-esteem?,"Yes, it sometimes makes me insecure."
Do you compare yourself with others on social media?,"Yes, I compare my life with others online."
How do you feel when you receive likes and comments?,"Happy when I get likes, disappointed when I don’t."
Do you use social media to connect with new friends?,"Yes, I have made new friends online."
How has social media affected your real-life relationships?,"It has made some friendships stronger, others weaker."
Do you feel more socially connected or isolated due to social media?,"More connected online, but sometimes isolated in real life."
Has social media helped you in finding job opportunities or internships?,"Yes, I have found job postings on social media."
Have you used LinkedIn or similar platforms for career networking?,"Yes, I use LinkedIn for networking."
How often do you engage with educational content on social media?,"Occasionally, I watch educational videos."
Do you follow influencers or experts related to your field of study?,"Yes, I follow industry experts."
Have you ever experienced cyberbullying or online harassment?,"Yes, I have experienced online harassment."
Do you think social media has a positive or negative impact on students' mental health?,"Both positive and negative, depending on how it's used."
How does social media influence your daily mood?,"It affects my mood, especially negative news."
Do you use social media to stay updated on current events?,"Yes, I read news updates on social media."
Have you ever participated in online discussions or forums related to your studies?,"Yes, I have joined study groups online."
Do you use social media to collaborate on group projects?,"Yes, I use it for group project discussions."
How has social media changed the way you communicate with friends and family?,It has made communication faster but less personal.
Do you feel anxious when you are unable to access social media?,"Yes, I feel anxious without social media access."
Have you ever considered taking a break from social media?,"Yes, I have taken social media breaks before."
Do you think social media addiction is a real issue among students?,"Yes, social media addiction is common among students."
What suggestions do you have for students to use social media responsibly?,Use it in moderation and avoid distractions.
Do you feel more comfortable expressing yourself on social media than in real life?,"Yes, I feel more confident online."
Have you ever shared personal problems on social media?,"Yes, but only with close friends."
Do you think social media influences your opinions on social issues?,"Yes, it has shaped some of my views."
Have you ever bought a product because of social media ads?,"Yes, social media ads influence me."
Do you trust information shared on social media?,"Not always, I double-check sources."
Have you ever encountered fake news on social media?,"Yes, I have seen fake news many times."
How often do you interact with online communities or forums?,A few times per week.
Have you ever joined an online course because of social media promotions?,"Yes, I discovered an online course through social media."
Do you use social media to keep in touch with family members?,"Yes, I chat with my family online."
Has social media influenced your travel or lifestyle choices?,"Yes, I’ve visited places I saw on social media."
Do you think social media promotes unrealistic beauty standards?,"Yes, it sets unrealistic expectations."
Have you ever felt FOMO (fear of missing out) because of social media?,"Yes, I sometimes feel left out."
How often do you post updates about your daily life?,Once or twice a week.
Do you prefer chatting on social media over face-to-face conversations?,"Yes, I prefer texting over talking."
Have you ever made a meaningful connection through social media?,"Yes, I have made good friends online."
Do you use social media for entertainment or relaxation?,"Yes, I watch videos and memes for fun."
Do you believe social media impacts sleep quality?,"Yes, it keeps me awake at night."
Have you ever deleted or deactivated your social media accounts?,"Yes, I took a break from social media once."
How do you manage your screen time on social media?,I use screen time limits.
Have you ever felt overwhelmed by too much social media content?,"Yes, sometimes it feels too much."
Do you think social media is necessary for professional networking?,"Yes, networking is easier online."
Have you ever found a mentor through social media?,"Yes, I found a mentor on LinkedIn."
Do you use social media to participate in online activism or social movements?,"Yes, I’ve joined online social movements."
Do you think social media increases or decreases real-life social skills?,"It depends, but it can reduce face-to-face skills."
Have you ever set specific goals for your social media usage?,"Yes, I set limits on my usage."
Do you think social media has helped improve your creativity?,"Yes, it inspires me to be creative."
Have you ever received valuable academic advice through social media?,"Yes, I’ve received useful study tips."
Do you use social media to showcase your achievements?,"Yes, I share my achievements occasionally."
Do you think excessive social media usage affects productivity?,"Yes, it can be a huge distraction."
What are your personal strategies for maintaining a healthy balance with social media?,I limit my usage and take breaks.
How does social media affect students' sleep patterns?,"Many students stay up late browsing social media, reducing their sleep time."
Do students feel more stressed because of social media?,"Yes, constant exposure to news and peer activities can increase stress levels."
How often do students compare themselves to others on social media?,"Students frequently compare their lives to others' curated posts, leading to insecurity."
Can social media addiction impact academic performance?,"Excessive use of social media often distracts students from studying, affecting grades."
How does the fear of missing out (FOMO) manifest in students?,Students may feel anxious or left out when seeing others' social activities online.
Does social media provide emotional support for students?,Some students find comfort in online communities and support groups.
Can cyberbullying on social media affect students' mental health?,"Yes, cyberbullying can lead to anxiety, depression, and low self-esteem."
