Câu hỏi khảo sát,Trả lời
Bạn dành bao nhiêu giờ mỗi ngày cho mạng xã hội?,Khoảng 3 giờ.
Những nền tảng truyền thông xã hội nào bạn sử dụng thường xuyên nhất?,Instagram và TikTok.
Bạn có thường xuyên kiểm tra thông báo trên mạng xã hội không?,Cứ sau 30 phút.
Phương tiện truyền thông xã hội có ảnh hưởng đến thói quen học tập của bạn không? Nếu có thì làm thế nào?,"Vâng, đôi khi nó làm tôi mất tập trung."
Bạn có sử dụng mạng xã hội cho mục đích học tập không?,"Có, để tìm tài liệu học tập."
Bạn đã bao giờ sử dụng mạng xã hội để tìm tài liệu học tập chưa?,"Vâng, nhiều lần."
Bạn có nghĩ mạng xã hội làm bạn mất tập trung vào việc học không?,"Có, đặc biệt là khi ôn thi."
Phương tiện truyền thông xã hội ảnh hưởng đến sự tập trung của bạn như thế nào?,Nó làm giảm sự tập trung của tôi.
Bạn có cảm thấy áp lực phải duy trì sự hiện diện trực tuyến không?,"Vâng, tôi cảm thấy áp lực phải đăng bài thường xuyên."
Phương tiện truyền thông xã hội có ảnh hưởng đến lòng tự trọng của bạn không?,"Vâng, đôi khi nó khiến tôi bất an."
Bạn có so sánh mình với người khác trên mạng xã hội không?,"Đúng, tôi so sánh cuộc sống của mình với những người khác trên mạng."
Bạn cảm thấy thế nào khi nhận được lượt thích và bình luận?,"Hạnh phúc khi tôi nhận được lượt thích, thất vọng khi không."
Bạn có sử dụng mạng xã hội để kết nối với những người bạn mới không?,"Vâng, tôi đã kết bạn mới trên mạng."
Phương tiện truyền thông xã hội đã ảnh hưởng đến các mối quan hệ ngoài đời thực của bạn như thế nào?,"Nó đã làm cho một số tình bạn mạnh mẽ hơn, những tình bạn khác lại yếu đi."
Bạn có cảm thấy kết nối xã hội hơn hoặc bị cô lập hơn do mạng xã hội không?,Kết nối trực tuyến nhiều hơn nhưng đôi khi bị cô lập trong cuộc sống thực.
Phương tiện truyền thông xã hội có giúp bạn tìm được cơ hội việc làm hoặc thực tập không?,"Có, tôi đã tìm thấy tin tuyển dụng trên mạng xã hội."
Bạn đã sử dụng LinkedIn hoặc các nền tảng tương tự để kết nối mạng lưới nghề nghiệp chưa?,"Có, tôi sử dụng LinkedIn để kết nối mạng."
Bạn có thường xuyên tham gia vào nội dung giáo dục trên mạng xã hội không?,Thỉnh thoảng tôi xem các video giáo dục.
Bạn có theo dõi những người có ảnh hưởng hoặc chuyên gia liên quan đến lĩnh vực nghiên cứu của bạn không?,"Có, tôi theo dõi các chuyên gia trong ngành."
Bạn đã bao giờ bị bắt nạt qua mạng hoặc quấy rối trực tuyến chưa?,"Vâng, tôi đã từng bị quấy rối trực tuyến."
Bạn nghĩ mạng xã hội có tác động tích cực hay tiêu cực đến sức khỏe tâm thần của học sinh?,"Cả tích cực và tiêu cực, tùy thuộc vào cách nó được sử dụng."
Phương tiện truyền thông xã hội ảnh hưởng đến tâm trạng hàng ngày của bạn như thế nào?,"Nó ảnh hưởng đến tâm trạng của tôi, đặc biệt là những tin tức tiêu cực."
Bạn có sử dụng phương tiện truyền thông xã hội để cập nhật các sự kiện hiện tại không?,"Có, tôi đọc tin tức cập nhật trên mạng xã hội."
Bạn đã bao giờ tham gia các cuộc thảo luận hoặc diễn đàn trực tuyến liên quan đến việc học của mình chưa?,"Có, tôi đã tham gia nhóm học trực tuyến."
Bạn có sử dụng mạng xã hội để cộng tác trong các dự án nhóm không?,"Có, tôi sử dụng nó để thảo luận dự án nhóm."
Phương tiện truyền thông xã hội đã thay đổi cách bạn giao tiếp với bạn bè và gia đình như thế nào?,Nó làm cho việc giao tiếp nhanh hơn nhưng ít mang tính cá nhân hơn.
Bạn có cảm thấy lo lắng khi không thể truy cập mạng xã hội không?,"Vâng, tôi cảm thấy lo lắng khi không truy cập được mạng xã hội."
Bạn đã bao giờ cân nhắc việc tạm dừng sử dụng mạng xã hội chưa?,"Vâng, tôi đã từng nghỉ sử dụng mạng xã hội trước đây."
Bạn có nghĩ chứng nghiện mạng xã hội là một vấn đề thực sự ở sinh viên không?,"Đúng vậy, chứng nghiện mạng xã hội là điều phổ biến ở sinh viên."
Bạn có gợi ý gì để học sinh sử dụng mạng xã hội một cách có trách nhiệm?,Hãy sử dụng nó một cách có chừng mực và tránh bị phân tâm.
Bạn có cảm thấy thoải mái hơn khi thể hiện bản thân trên mạng xã hội hơn là ngoài đời thực không?,"Có, tôi cảm thấy tự tin hơn khi trực tuyến."
Bạn đã bao giờ chia sẻ những vấn đề cá nhân trên mạng xã hội chưa?,"Có, nhưng chỉ với bạn bè thân thiết thôi."
Bạn có nghĩ rằng phương tiện truyền thông xã hội ảnh hưởng đến ý kiến ​​​​của bạn về các vấn đề xã hội?,"Vâng, nó đã định hình một số quan điểm của tôi."
Bạn đã bao giờ mua một sản phẩm vì quảng cáo trên mạng xã hội chưa?,"Có, quảng cáo trên mạng xã hội ảnh hưởng đến tôi."
Bạn có tin tưởng thông tin được chia sẻ trên phương tiện truyền thông xã hội?,Không phải lúc nào tôi cũng kiểm tra kỹ các nguồn.
Bạn đã bao giờ gặp phải tin giả trên mạng xã hội chưa?,"Vâng, tôi đã thấy tin giả nhiều lần."
Bạn có thường xuyên tương tác với các cộng đồng hoặc diễn đàn trực tuyến không?,Một vài lần mỗi tuần.
Bạn đã bao giờ tham gia một khóa học trực tuyến vì các chương trình khuyến mãi trên mạng xã hội chưa?,"Có, tôi đã phát hiện ra một khóa học trực tuyến thông qua mạng xã hội."
Bạn có sử dụng mạng xã hội để giữ liên lạc với các thành viên trong gia đình không?,"Có, tôi trò chuyện với gia đình tôi trực tuyến."
Phương tiện truyền thông xã hội có ảnh hưởng đến việc lựa chọn du lịch hoặc lối sống của bạn không?,"Có, tôi đã đến thăm những địa điểm tôi thấy trên mạng xã hội."
Bạn có nghĩ rằng phương tiện truyền thông xã hội thúc đẩy các tiêu chuẩn sắc đẹp phi thực tế?,"Vâng, nó đặt ra những kỳ vọng không thực tế."
Bạn đã bao giờ cảm thấy FOMO (sợ bỏ lỡ) vì mạng xã hội chưa?,"Vâng, đôi khi tôi cảm thấy bị bỏ rơi."
Bạn có thường xuyên đăng thông tin cập nhật về cuộc sống hàng ngày của mình không?,Một hoặc hai lần một tuần.
Bạn có thích trò chuyện trên mạng xã hội hơn là trò chuyện trực tiếp không?,"Có, tôi thích nhắn tin hơn nói chuyện."
Bạn đã bao giờ thực hiện một kết nối có ý nghĩa thông qua phương tiện truyền thông xã hội?,"Vâng, tôi đã có được những người bạn tốt trên mạng."
Bạn có sử dụng mạng xã hội để giải trí hoặc thư giãn không?,"Có, tôi xem video và meme để giải trí."
Bạn có tin rằng phương tiện truyền thông xã hội ảnh hưởng đến chất lượng giấc ngủ?,"Vâng, nó giúp tôi tỉnh táo vào ban đêm."
Bạn đã bao giờ xóa hoặc vô hiệu hóa tài khoản truyền thông xã hội của mình chưa?,"Vâng, tôi đã từng tạm dừng sử dụng mạng xã hội một lần."
Bạn quản lý thời gian sử dụng thiết bị của mình trên mạng xã hội như thế nào?,Tôi sử dụng giới hạn thời gian trên màn hình.
Bạn đã bao giờ cảm thấy choáng ngợp bởi quá nhiều nội dung trên mạng xã hội chưa?,"Vâng, đôi khi nó cảm thấy quá nhiều."
Bạn có nghĩ rằng phương tiện truyền thông xã hội là cần thiết cho mạng lưới chuyên nghiệp?,"Có, kết nối trực tuyến dễ dàng hơn."
Bạn đã bao giờ tìm được người cố vấn thông qua mạng xã hội chưa?,"Có, tôi đã tìm được một người cố vấn trên LinkedIn."
Bạn có sử dụng mạng xã hội để tham gia hoạt động trực tuyến hoặc các phong trào xã hội không?,"Có, tôi đã tham gia các phong trào xã hội trực tuyến."
Bạn có nghĩ mạng xã hội làm tăng hay giảm các kỹ năng xã hội trong đời thực không?,"Còn tùy, nhưng nó có thể làm giảm kỹ năng gặp mặt trực tiếp."
Bạn đã bao giờ đặt mục tiêu cụ thể cho việc sử dụng mạng xã hội của mình chưa?,"Có, tôi đặt giới hạn cho việc sử dụng của mình."
Bạn có nghĩ rằng phương tiện truyền thông xã hội đã giúp cải thiện khả năng sáng tạo của bạn?,"Vâng, nó truyền cảm hứng cho tôi sáng tạo."
Bạn đã bao giờ nhận được lời khuyên học tập có giá trị thông qua mạng xã hội chưa?,"Có, tôi đã nhận được những lời khuyên học tập hữu ích."
Bạn có sử dụng phương tiện truyền thông xã hội để giới thiệu thành tích của mình không?,"Có, thỉnh thoảng tôi chia sẻ thành tích của mình."
Bạn có nghĩ rằng việc sử dụng mạng xã hội quá mức sẽ ảnh hưởng đến năng suất?,"Vâng, nó có thể là một sự phân tâm lớn."
Chiến lược cá nhân của bạn để duy trì sự cân bằng lành mạnh với phương tiện truyền thông xã hội là gì?,Tôi hạn chế sử dụng và nghỉ ngơi.
Mạng xã hội ảnh hưởng thế nào đến thói quen ngủ của sinh viên?,"Nhiều sinh viên thức khuya lướt mạng xã hội, làm giảm thời gian ngủ."
Sinh viên có cảm thấy căng thẳng hơn vì mạng xã hội không?,"Có, việc liên tục tiếp xúc với tin tức và hoạt động của bạn bè có thể làm tăng mức độ căng thẳng."
Sinh viên so sánh bản thân với người khác trên mạng xã hội thường xuyên như thế nào?,"Sinh viên thường xuyên so sánh cuộc sống của mình với bài đăng đã chọn lọc của người khác, dẫn đến cảm giác tự ti."
Nghiện mạng xã hội có ảnh hưởng đến kết quả học tập của sinh viên không?,"Việc sử dụng mạng xã hội quá mức làm sinh viên sao lãng việc học, ảnh hưởng đến điểm số."
Hội chứng sợ bỏ lỡ (FOMO) biểu hiện thế nào ở sinh viên?,Sinh viên có thể cảm thấy lo lắng hoặc bị bỏ rơi khi thấy hoạt động xã hội của người khác trên mạng.
Mạng xã hội có cung cấp sự hỗ trợ cảm xúc cho sinh viên không?,Một số sinh viên tìm được sự an ủi trong cộng đồng và nhóm hỗ trợ trực tuyến.
Bạo lực mạng trên mạng xã hội ảnh hưởng đến sức khỏe tâm thần của sinh viên như thế nào?,"Có, bạo lực mạng có thể dẫn đến lo âu, trầm cảm và giảm lòng tự trọng."
Mạng xã hội ảnh hưởng thế nào đến hình ảnh cơ thể của sinh viên?,Tiếp xúc với hình ảnh lý tưởng hóa trên mạng có thể gây ra sự không hài lòng với cơ thể.
Sinh viên có thường xuyên đa nhiệm với mạng xã hội khi học không?,"Có, nhiều sinh viên kiểm tra mạng xã hội khi học, làm giảm sự tập trung."
"Sự công nhận xã hội (like, bình luận) có quan trọng đối với sinh viên không?",Việc được like và bình luận có thể ảnh hưởng lớn đến sự tự tin của sinh viên.
Mạng xã hội có tạo ra kỳ vọng không thực tế về cuộc sống cho sinh viên không?,"Có, việc chỉ thấy những khoảnh khắc đẹp nhất của người khác có thể tạo kỳ vọng không thực tế."
Sinh viên có cảm thấy cô đơn dù hoạt động tích cực trên mạng xã hội không?,Sinh viên có thể cảm thấy cô đơn mặc dù rất hoạt động trên mạng.
Việc sử dụng mạng xã hội có thể nâng cao khả năng sáng tạo của sinh viên không?,"Một số sinh viên sử dụng TikTok, Instagram để thể hiện khả năng sáng tạo."
Mạng xã hội ảnh hưởng thế nào đến quan điểm chính trị của sinh viên?,Sinh viên thường xuyên tiếp xúc với nội dung chính trị và bị ảnh hưởng bởi chúng.
Sinh viên có nhận thức được tác động của mạng xã hội đến sức khỏe tâm thần của họ không?,Một số sinh viên nhận ra tác động tiêu cực nhưng nhiều người lại đánh giá thấp chúng.
Sinh viên quản lý thời gian sử dụng mạng xã hội như thế nào?,Sinh viên sử dụng các chiến lược như giới hạn thời gian màn hình hoặc lập lịch nghỉ mạng xã hội.
Mạng xã hội có thể được sử dụng hiệu quả cho mục đích giáo dục không?,"Có, nhiều sinh viên tham gia nhóm học tập hoặc theo dõi trang giáo dục để học."
