Câu hỏi khảo sát,Trả lời
Bạn dành bao nhiêu giờ mỗi ngày cho mạng xã hội?,oảng 3 giờ.
Những nền tảng truyền thông xã hội nào bạn sử dụng thường xuyên nhất?,stagram và TikTok.
Bạn có thường xuyên kiểm tra thông báo trên mạng xã hội không?, sau 30 phút.
Phương tiện truyền thông xã hội có ảnh hưởng đến thói quen học tập của bạn không? Nếu có thì làm thế nào?,"ng, đôi khi nó làm tôi mất tập trung."
Bạn có sử dụng mạng xã hội cho mục đích học tập không?,", để tìm tài liệu học tập."
Bạn đã bao giờ sử dụng mạng xã hội để tìm tài liệu học tập chưa?,"ng, nhiều lần."
Bạn có nghĩ mạng xã hội làm bạn mất tập trung vào việc học không?,", đặc biệt là khi ôn thi."
Phương tiện truyền thông xã hội ảnh hưởng đến sự tập trung của bạn như thế nào?, làm giảm sự tập trung của tôi.
Bạn có cảm thấy áp lực phải duy trì sự hiện diện trực tuyến không?,"ng, tôi cảm thấy áp lực phải đăng bài thường xuyên."
Phương tiện truyền thông xã hội có ảnh hưởng đến lòng tự trọng của bạn không?,"ng, đôi khi nó khiến tôi bất an."
Bạn có so sánh mình với người khác trên mạng xã hội không?,"ng, tôi so sánh cuộc sống của mình với những người khác trên mạng."
Bạn cảm thấy thế nào khi nhận được lượt thích và bình luận?,"nh phúc khi tôi nhận được lượt thích, thất vọng khi không."
Bạn có sử dụng mạng xã hội để kết nối với những người bạn mới không?,"ng, tôi đã kết bạn mới trên mạng."
Phương tiện truyền thông xã hội đã ảnh hưởng đến các mối quan hệ ngoài đời thực của bạn như thế nào?," đã làm cho một số tình bạn mạnh mẽ hơn, những tình bạn khác lại yếu đi."
Bạn có cảm thấy kết nối xã hội hơn hoặc bị cô lập hơn do mạng xã hội không?,t nối trực tuyến nhiều hơn nhưng đôi khi bị cô lập trong cuộc sống thực.
Phương tiện truyền thông xã hội có giúp bạn tìm được cơ hội việc làm hoặc thực tập không?,", tôi đã tìm thấy tin tuyển dụng trên mạng xã hội."
Bạn đã sử dụng LinkedIn hoặc các nền tảng tương tự để kết nối mạng lưới nghề nghiệp chưa?,", tôi sử dụng LinkedIn để kết nối mạng."
Bạn có thường xuyên tham gia vào nội dung giáo dục trên mạng xã hội không?,ỉnh thoảng tôi xem các video giáo dục.
Bạn có theo dõi những người có ảnh hưởng hoặc chuyên gia liên quan đến lĩnh vực nghiên cứu của bạn không?,", tôi theo dõi các chuyên gia trong ngành."
